"filename", "language", "Gradle", "YAML", "Java Properties", "Java", "Markdown", "Batch", "comment", "blank", "total"
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\form\elements\Slider.java", "Java", 0, 0, 0, 44, 0, 0, 0, 9, 53
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\form\elements\StepSlider.java", "Java", 0, 0, 0, 37, 0, 0, 0, 8, 45
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\form\elements\TextInput.java", "Java", 0, 0, 0, 42, 0, 0, 0, 10, 52
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\form\elements\Toggle.java", "Java", 0, 0, 0, 28, 0, 0, 0, 8, 36
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\menu\CameraMenu.java", "Java", 0, 0, 0, 185, 0, 0, 0, 8, 193
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\player\PlayerCamSettings.java", "Java", 0, 0, 0, 337, 0, 0, 7, 64, 408
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\player\PlayerDevice.java", "Java", 0, 0, 0, 36, 0, 0, 7, 7, 50
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\player\PlayerInputType.java", "Java", 0, 0, 0, 27, 0, 0, 1, 5, 33
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\player\PlayerPlatform.java", "Java", 0, 0, 0, 32, 0, 0, 0, 6, 38
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\java\org\geyserplus\spigot\sevenwdev\player\PlayerUIProfile.java", "Java", 0, 0, 0, 14, 0, 0, 0, 6, 20
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\resources\extension.yml", "YAML", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\resources\extensionyml-README.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 7, 20
"d:\Ade-s-Starter-Kit\Ade-s-Starter-Kit\PCBACKUP\Projects\camera-free plugin\src\main\resources\plugin.yml", "YAML", 0, 14, 0, 0, 0, 0, 0, 0, 14
"Total", "-", 56, 20, 5, 2039, 45, 39, 58, 439, 2701
